B;S;H0;H;Q;W;R;dB
2,50;2,50;2,28;6,00;475,00;17,50;94,72;120,60
2,50;2,00;2,00;4,50;230,00;11,75;186,07;120,30
3,00;3,00;2,98;5,00;126,60;9,50;114,99;120,60
2,50;3,00;3,53;4,50;92,65;4,55;70,92;120,60
2,50;2,50;2,20;5,50;747,00;15,50;141,23;120,50
2,50;3,00;2,48;6,00;530,00;16,55;176,54;120,50
2,50;3,00;2,70;6,00;958,00;15,50;181,64;120,50
2,50;3,00;2,70;6,00;865,25;15,50;198,13;120,50
2,50;3,00;3,26;5,50;400,00;10,55;120,25;120,20
3,00;3,00;3,02;6,00;91,00;14,00;112,84;120,20
3,00;3,00;3,40;5,00;37,50;7,50;100,14;120,60
3,00;3,00;1,83;4,50;348,00;12,55;130,53;120,40
2,50;2,50;3,02;6,00;315,50;14,00;81,72;120,40
2,50;3,00;3,26;5,50;844,00;10,55;51,57;120,20
2,50;3,00;3,26;5,50;330,00;10,55;128,70;120,40
2,00;2,00;1,90;2,60;60,00;3,27;157,81;120,40
2,50;2,50;2,48;4,30;43,50;8,55;51,77;120,10
2,50;3,00;3,01;6,00;477,00;14,05;232,89;120,30
2,50;3,00;2,69;6,20;1119,60;16,50;36,37;127,00
3,00;3,00;1,83;4,50;348,00;12,55;91,74;120,40
2,50;2,50;2,20;5,50;494,50;15,50;43,42;120,10
3,00;2,50;3,34;6,00;204,00;12,50;117,38;120,20
2,50;3,00;2,43;6,00;50,15;16,80;141,78;119,90
2,00;2,50;4,03;6,00;125,75;9,25;95,58;120,20
2,50;2,50;2,83;4,00;27,50;5,50;63,14;120,20
3,00;3,00;3,02;6,00;91,00;14,00;109,86;119,90
2,50;3,00;3,34;6,00;303,20;12,50;148,52;120,10
2,50;3,00;3,26;5,50;500,00;10,55;86,23;120,20
3,00;4,00;2,70;6,00;393,00;15,50;84,06;120,00
2,50;3,00;3,16;7,00;267,65;18,05;150,40;120,00
2,50;3,00;3,26;5,50;212,00;10,55;139,69;120,00
3,00;2,50;3,34;6,00;204,00;12,50;80,19;119,90
3,00;3,50;2,98;6,50;745,00;16,55;188,90;119,90
3,00;3,50;2,98;6,50;745,00;16,55;176,89;119,90
2,50;2,50;2,26;4,50;393,00;10,55;51,77;119,80
2,50;3,00;3,00;5,50;920,00;11,75;147,78;119,90
2,50;3,00;2,76;5,00;147,40;10,55;123,08;119,90
2,50;3,00;3,16;7,00;267,65;18,05;122,28;119,70
2,50;3,00;3,16;5,50;682,00;11,00;36,00;119,90
2,50;3,00;3,26;5,50;844,00;10,55;27,98;127,60
2,50;2,50;3,23;6,00;327,50;13,00;82,99;119,70
2,00;2,00;2,12;2,50;130,00;1,78;57,33;120,00
2,50;2,50;2,77;5,00;264,00;10,50;46,84;121,70
3,00;2,50;3,23;6,00;172,00;13,00;61,21;119,60
2,50;3,00;3,27;5,50;600,00;10,50;147,22;119,70
3,00;3,00;2,98;5,00;126,60;9,50;133,18;119,70
2,50;2,50;2,83;4,00;55,00;5,50;67,32;119,70
2,00;2,50;1,96;4,20;352,65;10,55;55,02;119,60
2,50;3,00;3,01;6,00;477,00;14,05;173,78;119,20
2,50;3,00;3,33;6,00;251,00;12,55;146,94;119,60
2,50;3,00;2,83;7,30;1060,00;21,00;178,82;119,40
3,00;2,50;3,23;6,00;300,00;13,00;169,49;119,40
2,50;2,50;3,80;5,50;200,00;8,00;83,80;119,70
3,50;2,50;2,20;5,50;356,00;15,50;106,91;119,30
2,50;3,00;1,76;4,00;456,40;10,55;114,04;119,30
3,00;2,50;3,23;6,00;172,00;13,00;30,21;127,90
2,50;3,00;3,07;5,30;682,00;10,50;173,75;119,30
3,00;3,00;2,98;5,00;126,60;9,50;106,12;119,30
2,50;3,00;4,33;7,00;96,50;12,55;143,91;119,30
2,00;2,00;2,41;2,80;86,00;1,85;90,95;119,30
2,00;2,00;2,41;2,80;86,00;1,85;106,21;119,30
3,00;3,00;3,02;6,00;91,00;14,00;100,17;119,20
2,50;2,50;3,02;6,00;315,50;14,00;61,12;119,20
2,50;3,00;2,83;5,50;276,00;12,55;141,31;119,20
2,50;2,50;3,80;5,50;200,00;8,00;97,35;119,20
3,00;3,00;3,40;5,00;37,50;7,50;130,61;119,20
2,50;2,50;2,20;5,50;959,00;15,50;166,47;119,10
3,00;3,00;3,02;6,00;91,00;14,00;145,87;119,10
2,50;3,00;3,16;5,50;682,00;11,00;13,60;128,00
2,50;2,50;3,26;5,30;145,00;9,60;74,79;119,10
2,50;2,50;2,45;5,75;784,00;15,50;111,38;119,00
2,50;3,00;3,26;5,50;85,00;10,55;138,70;119,00
2,50;2,50;3,02;6,00;315,50;14,00;71,36;119,00
2,50;3,00;3,10;6,00;354,00;13,62;51,93;122,90
2,50;3,00;3,26;5,50;75,00;10,55;40,94;128,30
2,50;3,00;3,07;5,30;682,00;10,50;129,52;119,00
3,00;2,50;3,18;6,00;164,00;13,25;111,87;118,70
2,50;3,00;3,29;5,00;19,70;8,05;145,46;119,10
2,00;2,50;2,43;3,60;27,50;5,50;74,10;118,80
3,00;3,00;2,84;5,50;450,00;12,50;184,45;118,80
2,50;3,00;3,26;5,50;320,50;10,55;121,47;118,80
2,00;2,00;1,62;2,00;118,50;1,80;47,19;118,80
3,00;2,50;2,03;4,70;690,00;12,55;104,54;118,70
2,50;3,00;3,48;7,00;144,40;16,55;182,95;118,70
2,50;2,50;3,23;6,00;140,25;13,00;134,13;118,70
3,00;2,50;3,07;5,30;252,50;10,50;104,21;118,70
2,50;3,00;3,26;5,50;330,00;10,55;82,05;118,70
2,50;2,50;3,26;5,30;130,00;9,60;70,04;118,70
2,50;3,00;3,26;5,50;400,00;10,55;100,92;118,60
2,00;2,50;4,26;6,50;95,00;10,55;79,24;118,70
2,50;3,00;3,00;5,50;920,00;11,75;80,80;118,60
2,50;3,00;3,33;6,00;251,00;12,55;125,89;118,60
2,50;2,50;3,54;6,20;400,00;12,50;125,91;118,60
2,50;3,00;3,48;7,00;144,40;16,55;130,18;118,50
2,50;3,00;3,10;6,00;354,00;13,62;123,42;118,60
2,50;3,00;3,26;5,50;212,00;10,55;155,57;118,50
3,00;3,00;3,50;6,00;315,25;11,75;142,05;118,50
2,50;3,00;2,70;6,00;958,00;15,50;123,84;118,30
2,50;3,00;4,33;7,00;96,50;12,55;108,72;118,50
2,50;3,00;3,77;6,00;340,05;10,50;84,22;118,50
2,00;2,00;1,62;2,00;110,50;1,80;39,18;118,50
3,00;3,00;3,40;5,00;37,50;7,50;155,32;118,30
3,00;3,00;3,40;5,00;37,50;7,50;144,70;118,30
2,50;3,00;3,48;7,00;144,40;16,55;124,39;118,30
2,00;2,00;2,57;3,00;30,00;2,00;43,88;118,30
2,50;3,50;2,20;5,50;680,00;15,50;151,91;118,30
2,00;2,00;1,62;2,00;118,50;1,80;46,29;118,30
2,50;2,50;2,81;6,00;385,00;15,00;101,46;118,30
2,50;3,00;2,72;5,50;400,00;13,05;105,65;118,30
3,00;3,00;2,84;5,50;450,00;12,50;171,40;118,30
3,00;2,50;3,07;5,30;252,50;10,50;156,50;118,30
2,50;2,50;2,90;4,50;83,00;7,50;94,31;118,30
3,00;3,00;2,98;5,00;126,60;9,50;109,47;118,20
3,00;2,50;3,60;5,30;113,00;8,00;37,40;118,30
2,50;3,00;2,82;4,00;80,75;5,55;132,51;118,20
2,50;2,50;1,92;5,00;131,00;14,50;104,64;118,20
2,50;3,00;3,10;6,00;354,00;13,62;118,30;118,20
3,00;3,50;3,26;5,50;95,00;10,55;162,31;118,20
2,00;2,00;1,62;2,00;110,50;1,80;51,03;118,20
2,50;3,00;3,26;5,50;320,50;10,55;128,17;118,20
2,50;3,00;4,33;7,00;96,50;12,55;121,73;118,20
2,50;3,00;3,29;5,00;19,70;8,05;101,63;118,20
3,00;3,00;2,98;5,00;126,60;9,50;161,46;118,10
2,50;3,00;2,70;6,00;958,00;15,50;158,90;118,10
2,50;2,50;2,63;5,50;680,00;13,50;202,04;118,10
2,50;2,50;3,54;6,20;380,00;12,50;150,02;118,10
3,00;3,50;3,26;5,50;95,00;10,55;153,70;118,10
2,50;3,00;3,29;5,00;140,30;8,05;73,03;118,10
2,50;2,50;3,23;6,00;327,50;13,00;72,55;117,90
2,50;2,50;3,90;5,50;219,25;7,50;34,37;118,20
2,50;3,00;3,69;5,50;159,90;8,50;53,19;118,10
3,50;2,50;2,20;5,50;356,00;15,50;146,93;117,90
2,50;2,50;3,23;6,00;140,25;13,00;149,43;117,90
2,50;3,00;3,26;5,50;74,40;10,55;208,38;117,90
3,00;2,50;3,23;6,00;160,50;13,00;26,68;128,40
2,50;2,50;3,26;5,30;155,00;9,60;61,16;117,90
2,00;2,50;1,96;4,20;352,65;10,55;135,31;117,80
2,50;3,00;2,72;5,50;400,00;13,05;158,58;117,80
3,00;3,00;2,98;5,00;126,60;9,50;156,44;117,80
2,50;3,00;3,76;6,00;384,50;10,55;136,14;117,80
2,50;3,00;3,76;6,00;384,50;10,55;119,85;117,80
2,50;3,00;3,77;6,00;340,05;10,50;136,77;117,80
2,50;2,50;3,02;6,00;315,50;14,00;37,51;128,80
2,50;2,50;3,26;5,30;155,00;9,60;175,01;117,60
2,50;2,50;2,83;4,00;88,00;5,50;85,19;117,60
2,00;2,50;3,02;4,30;240,00;6,00;59,65;117,60
3,00;3,00;3,62;5,00;71,50;6,50;47,35;118,10
2,50;3,00;2,76;5,00;147,40;10,55;197,99;117,60
2,50;2,50;2,45;5,75;784,00;15,50;147,52;117,60
2,50;3,00;3,26;5,50;500,00;10,55;117,13;117,50
2,50;2,50;3,23;6,00;327,50;13,00;121,22;117,50
2,50;2,00;2,00;4,50;230,00;11,75;250,23;117,50
2,50;2,50;3,23;6,00;140,25;13,00;161,40;117,50
2,00;2,00;2,46;2,80;121,50;1,60;51,55;117,60
2,00;2,50;1,96;4,20;352,65;10,55;143,47;117,40
3,00;3,00;2,98;5,00;126,60;9,50;120,80;117,40
2,00;2,50;3,02;4,30;240,00;6,00;138,16;117,40
2,50;2,50;2,26;4,50;393,00;10,55;11,33;128,90
2,50;2,50;2,83;4,00;88,00;5,50;139,45;117,50
2,50;3,00;3,11;4,50;22,00;6,55;150,39;117,40
3,00;2,50;3,34;6,00;204,00;12,50;105,78;117,10
2,50;2,50;2,81;6,00;385,00;15,00;121,96;117,20
2,50;3,00;3,53;4,50;92,65;4,55;144,46;117,10
1,50;2,50;2,83;4,00;455,00;5,50;93,78;117,10
2,50;2,50;2,77;5,00;264,00;10,50;111,80;116,70
2,50;3,00;3,26;5,50;400,00;10,55;101,72;116,70
2,50;3,00;3,26;5,50;630,00;10,55;89,94;116,70
2,00;3,00;2,14;4,50;76,50;11,10;105,30;116,90
2,50;3,00;2,62;7,30;519,65;22,00;208,96;116,60
3,00;2,50;2,81;6,00;251,00;15,00;105,78;116,60
2,50;3,00;3,01;6,00;477,00;14,05;231,30;116,60
3,00;3,50;3,26;5,50;95,00;10,55;197,76;116,60
2,50;3,00;2,83;7,30;1060,00;21,00;209,69;116,40
2,00;2,00;1,16;1,90;90,00;3,50;53,15;116,40
3,00;2,50;3,34;6,00;204,00;12,50;94,69;116,40
2,50;3,00;3,26;5,50;338,50;10,55;135,45;116,40
3,00;3,00;3,40;5,00;37,50;7,50;150,25;116,30
2,00;2,00;2,46;2,80;78,50;1,60;55,09;116,70
2,50;3,00;3,09;4,00;8,50;4,30;106,14;116,30
3,00;3,50;2,98;6,50;745,00;16,55;226,02;116,10
2,50;3,00;3,29;5,00;140,30;8,05;124,01;116,10
2,00;2,00;2,12;2,50;130,00;1,78;119,33;116,10
2,50;3,00;3,26;5,50;504,00;10,55;64,10;116,30
2,50;3,00;3,22;6,00;257,10;13,05;181,57;115,90
2,50;3,00;2,72;5,50;400,00;13,05;170,84;115,90
2,50;2,50;3,54;6,20;400,00;12,50;140,34;115,90
2,50;2,50;2,63;5,50;680,00;13,50;138,53;115,90
3,00;3,50;3,79;5,50;48,30;8,05;119,93;116,00
2,00;2,50;4,03;6,00;125,75;9,25;209,19;115,90
2,50;4,50;2,83;4,50;120,00;7,85;194,53;115,90
2,50;2,50;2,77;5,00;264,00;10,50;169,30;115,90
2,50;3,00;2,43;6,00;82,60;16,80;141,78;115,70
2,50;3,00;3,53;4,50;92,65;4,55;120,30;115,60
1,00;2,00;1,73;2,00;18,00;1,25;37,60;115,90
2,00;2,00;2,43;2,80;92,00;1,75;106,21;115,60
2,50;3,00;4,33;7,00;96,50;12,55;150,49;115,60
2,50;2,50;3,54;6,20;380,00;12,50;177,18;115,40
2,50;2,50;3,80;5,50;140,00;8,00;130,04;115,40
2,00;2,00;2,43;2,80;92,00;1,75;92,49;115,40
2,50;2,50;1,66;4,00;565,00;11,00;91,69;115,60
2,50;4,50;2,83;4,50;184,00;7,85;194,27;115,40
2,50;3,00;2,76;5,00;108,90;10,55;125,30;115,40
2,50;3,00;3,16;7,00;267,65;18,05;154,54;115,20
3,00;3,50;2,98;6,50;745,00;16,55;219,22;115,20
2,50;2,50;3,02;6,00;315,50;14,00;109,68;115,20
2,50;3,00;4,33;7,00;96,50;12,55;170,16;115,20
2,50;2,50;1,92;5,00;131,00;14,50;116,60;115,00
2,50;2,50;3,54;6,20;400,00;12,50;184,32;115,00
2,00;2,50;3,50;6,00;97,00;11,75;113,32;115,00
2,50;3,00;3,27;5,50;600,00;10,50;175,71;115,00
2,50;3,00;3,77;6,00;340,05;10,50;159,44;114,80
2,50;2,50;2,20;5,50;747,00;15,50;102,81;115,40
2,50;3,00;2,26;3,00;165,50;3,50;95,46;114,80
3,00;3,00;3,62;5,00;71,50;6,50;121,48;114,80
2,50;3,00;3,26;5,50;94,50;10,55;202,91;114,40
2,50;3,00;3,27;5,50;600,00;10,50;167,50;114,40
3,00;3,00;3,62;5,00;71,50;6,50;62,67;114,60
2,00;2,00;1,13;1,50;140,00;1,75;150,48;114,40
3,00;3,00;3,33;6,00;83,50;12,55;140,52;114,40
3,00;2,50;3,34;6,00;204,00;12,50;145,71;114,20
2,50;3,00;3,07;5,30;682,00;10,50;27,20;129,70
2,50;2,50;2,47;3,00;80,00;2,50;148,43;114,40
2,50;3,00;2,16;6,00;763,05;18,05;164,47;114,20
2,50;3,00;3,11;4,50;22,00;6,55;196,57;114,00
2,50;2,50;2,81;6,00;385,00;15,00;152,74;114,00
2,50;3,00;3,29;5,00;140,30;8,05;189,01;113,80
2,00;2,00;3,90;7,00;302,00;14,55;131,26;113,80
3,00;2,50;3,33;5,30;225,00;9,25;94,63;113,80
3,00;3,50;3,26;5,50;95,00;10,55;153,69;114,20
3,00;3,50;3,26;5,50;95,00;10,55;209,87;113,30
2,50;3,00;2,83;7,30;1060,00;21,00;185,59;113,50
2,50;3,00;3,69;5,50;159,90;8,50;117,21;113,30
2,00;2,00;1,79;2,20;87,50;1,94;66,97;113,30
2,50;3,00;4,40;6,00;40,25;7,50;185,72;113,10
2,50;3,00;3,26;5,50;85,00;10,55;205,50;113,10
2,50;3,00;2,27;4,50;84,00;10,50;123,55;113,10
2,50;3,00;2,70;6,00;958,00;15,50;179,43;113,10
2,50;2,50;3,50;6,00;254,25;11,75;227,20;112,80
3,00;3,00;3,62;5,00;71,50;6,50;74,77;113,10
2,50;3,00;3,10;6,00;354,00;13,62;157,47;112,80
3,00;2,50;2,81;6,00;251,00;15,00;49,78;130,00
3,00;2,50;3,60;5,30;117,00;8,00;87,99;112,80
2,50;2,50;2,90;4,50;83,00;7,50;190,50;112,60
2,50;3,00;3,76;6,00;384,50;10,55;139,25;112,60
3,00;3,00;3,50;6,00;315,25;11,75;19,48;130,30
2,50;2,50;3,54;6,20;400,00;12,50;231,04;112,00
2,50;3,50;4,24;4,50;35,53;1,23;57,04;112,60
2,50;3,00;3,34;6,00;303,20;12,50;186,27;111,80
2,50;3,00;2,62;7,30;519,65;22,00;188,68;112,00
2,50;3,00;3,77;6,00;340,05;10,50;168,65;111,80
2,50;3,00;3,26;5,50;320,50;10,55;155,29;111,80
2,50;3,00;3,26;5,50;844,00;10,55;28,68;130,30
2,50;2,50;3,54;6,20;380,00;12,50;258,03;111,50
3,00;2,50;3,07;5,30;252,50;10,50;148,39;111,50
2,50;2,50;2,06;4,30;586,50;10,55;11,33;131,70
3,00;3,00;1,83;4,50;348,00;12,55;145,73;111,80
2,00;2,50;4,03;6,00;125,75;9,25;256,70;111,50
2,50;2,50;2,83;4,00;27,50;5,50;172,60;111,50
1,00;2,00;1,87;2,20;46,50;1,55;58,39;111,50
2,50;2,50;3,80;5,50;200,00;8,00;214,75;111,20
2,50;2,50;2,06;4,30;586,50;10,55;96,91;111,20
3,50;2,50;2,20;5,50;356,00;15,50;147,43;110,90
2,50;3,00;3,16;7,00;267,65;18,05;166,11;110,20
3,00;2,50;3,23;6,00;300,00;13,00;20,95;131,80
2,50;2,50;2,83;4,00;55,00;5,50;151,73;109,90
2,00;2,00;2,57;3,00;30,00;2,00;86,54;109,50
2,00;2,00;1,90;2,60;60,00;3,27;88,37;109,50
2,00;2,00;2,12;2,50;130,00;1,78;149,34;108,80
2,50;2,50;2,83;4,00;88,00;5,50;177,19;108,80
2,50;3,00;3,29;5,00;273,70;8,05;193,22;108,80
2,50;3,00;3,26;5,50;85,00;10,55;238,75;108,40
2,50;3,00;4,33;7,00;96,50;12,55;164,21;108,40
3,00;2,50;3,07;5,30;252,50;10,50;125,98;108,40
2,50;3,00;3,53;4,50;92,65;4,55;203,85;108,00
2,50;2,50;3,80;5,50;140,00;8,00;239,10;108,00
2,50;3,00;3,26;5,50;630,00;10,55;371,18;107,50
2,50;3,00;2,76;5,00;147,40;10,55;214,07;108,00
2,00;2,00;1,62;2,00;118,50;1,80;137,35;107,50
2,50;2,50;2,20;5,50;251,00;15,50;13,90;131,90
3,00;3,00;2,84;5,50;450,00;12,50;13,47;132,50
2,50;2,50;1,66;4,00;565,00;11,00;11,49;134,30
